elfin,id,t0,t1
a,16,2020-04-20T00:40:03.5,2020-04-20T00:41:31.5
a,16,2020-04-20T19:24:02.5,2020-04-20T19:25:12.5
a,16,2020-04-24T01:20:50.5,2020-04-24T01:22:09.5
a,16,2020-04-24T18:31:37.5,2020-04-24T18:32:43.5
a,16,2020-04-24T21:37:47.5,2020-04-24T21:38:23.5
a,16,2020-04-27T21:21:21.5,2020-04-27T21:23:56.5
a,16,2020-05-31T19:27:03.5,2020-05-31T19:27:48.5
a,16,2020-06-01T15:40:51.5,2020-06-01T15:42:24.5
a,16,2020-06-01T17:14:26.5,2020-06-01T17:18:07.5
a,16,2020-06-01T20:20:18.5,2020-06-01T20:24:24.5
a,16,2020-06-02T15:04:34.5,2020-06-02T15:05:07.5
a,16,2020-06-19T23:14:11.5,2020-06-19T23:15:06.5
a,16,2020-06-21T13:12:07.5,2020-06-21T13:12:07.5
a,16,2020-06-22T09:28:26.5,2020-06-22T09:29:09.5
a,16,2020-06-25T09:11:36.5,2020-06-25T09:12:01.5
a,16,2020-06-26T05:27:09.5,2020-06-26T05:28:12.5
a,16,2020-06-27T18:48:58.5,2020-06-27T18:50:12.5
a,16,2020-06-28T13:33:20.5,2020-06-28T13:34:48.5
a,16,2020-06-29T09:49:35.5,2020-06-29T09:51:45.5
a,16,2020-06-29T11:23:19.5,2020-06-29T11:25:10.5
a,16,2020-06-30T02:58:33.5,2020-06-30T02:59:30.5
a,16,2020-06-30T04:32:49.5,2020-06-30T04:33:45.5
a,16,2020-06-30T21:38:01.5,2020-06-30T21:38:44.5
a,16,2020-07-01T02:18:06.5,2020-07-01T02:18:06.5
a,16,2020-07-01T16:22:40.5,2020-07-01T16:23:38.5
a,16,2020-07-03T10:28:47.5,2020-07-03T10:30:22.5
a,16,2020-07-04T03:38:04.5,2020-07-04T03:39:16.5
a,16,2020-07-04T05:11:29.5,2020-07-04T05:12:40.5
a,16,2020-07-04T22:16:40.5,2020-07-04T22:19:12.5
a,16,2020-07-05T15:27:20.5,2020-07-05T15:29:55.5
a,16,2020-07-05T18:33:20.5,2020-07-05T18:35:19.5
a,16,2020-07-10T10:49:43.5,2020-07-10T10:50:59.5
a,16,2020-07-10T12:22:54.5,2020-07-10T12:25:14.5
a,16,2020-07-11T03:58:39.5,2020-07-11T03:58:39.5
a,16,2020-07-12T03:19:12.5,2020-07-12T03:19:52.5
a,16,2020-07-12T22:00:48.5,2020-07-12T22:01:15.5
a,16,2020-07-15T03:01:18.5,2020-07-15T03:01:41.5
a,16,2020-09-18T10:12:54.5,2020-09-18T10:14:46.5
a,16,2020-09-20T04:19:00.5,2020-09-20T04:19:26.5
a,16,2020-09-22T09:16:32.5,2020-09-22T09:18:40.5
a,16,2020-09-23T03:59:48.5,2020-09-23T04:00:51.5
a,16,2020-09-23T07:06:01.5,2020-09-23T07:07:00.5
a,16,2020-09-26T08:19:56.5,2020-09-26T08:22:16.5
a,16,2020-09-27T03:03:30.5,2020-09-27T03:03:39.5
a,16,2020-09-27T04:36:21.5,2020-09-27T04:36:38.5
a,16,2020-09-30T04:17:46.5,2020-09-30T04:17:55.5
a,16,2020-09-30T08:56:43.5,2020-09-30T08:58:24.5
a,16,2020-10-01T02:06:27.5,2020-10-01T02:06:37.5
a,16,2020-10-04T03:20:04.5,2020-10-04T03:20:31.5
a,16,2020-10-04T04:52:59.5,2020-10-04T04:53:25.5
a,16,2020-10-07T06:06:24.5,2020-10-07T06:07:06.5
a,16,2020-10-08T05:29:06.5,2020-10-08T05:29:31.5
a,16,2020-10-11T08:15:54.5,2020-10-11T08:15:54.5
a,16,2020-10-11T23:51:22.5,2020-10-11T23:51:22.5
a,16,2020-10-22T02:54:27.5,2020-10-22T02:54:27.5
a,16,2020-10-22T04:27:17.5,2020-10-22T04:27:42.5
a,16,2020-10-23T00:42:35.5,2020-10-23T00:43:09.5
a,16,2020-10-26T01:56:10.5,2020-10-26T01:56:19.5
a,16,2020-10-26T03:29:25.5,2020-10-26T03:29:42.5
a,16,2021-01-11T22:34:31.5,2021-01-11T22:35:22.5
a,16,2021-01-12T00:08:09.5,2021-01-12T00:09:02.5
a,16,2021-01-12T02:27:50.5,2021-01-12T02:29:27.5
a,16,2021-01-12T18:48:26.5,2021-01-12T18:48:58.5
a,16,2021-01-15T01:17:48.5,2021-01-15T01:19:03.5
a,16,2021-01-15T02:51:41.5,2021-01-15T02:52:06.5
a,16,2021-01-15T04:25:17.5,2021-01-15T04:25:17.5
a,16,2021-01-15T21:31:06.5,2021-01-15T21:33:35.5
a,16,2021-01-18T22:40:58.5,2021-01-18T22:42:36.5
a,16,2021-01-19T01:48:55.5,2021-01-19T01:49:03.5
a,16,2021-01-19T18:54:41.5,2021-01-19T18:55:27.5
a,16,2021-01-19T20:27:59.5,2021-01-19T20:30:21.5
a,16,2021-01-25T22:46:37.5,2021-01-25T22:48:32.5
a,16,2021-01-26T00:20:26.5,2021-01-26T00:22:25.5
a,16,2021-01-26T19:00:27.5,2021-01-26T19:02:25.5
a,16,2021-01-29T01:29:38.5,2021-01-29T01:31:18.5
a,16,2021-01-29T03:49:23.5,2021-01-29T03:50:47.5
a,16,2021-01-29T20:09:16.5,2021-01-29T20:12:15.5
a,16,2021-02-01T02:38:52.5,2021-02-01T02:40:00.5
a,16,2021-02-01T04:12:45.5,2021-02-01T04:12:45.5
a,16,2021-02-01T21:18:30.5,2021-02-01T21:21:36.5
a,16,2021-02-01T22:52:26.5,2021-02-01T22:54:44.5
a,16,2021-02-02T17:32:19.5,2021-02-02T17:33:38.5
a,16,2021-02-02T18:19:04.5,2021-02-02T18:20:37.5
a,16,2021-02-04T22:27:05.5,2021-02-04T22:27:25.5
a,16,2021-02-05T00:47:09.5,2021-02-05T00:50:02.5
a,16,2021-02-05T02:20:34.5,2021-02-05T02:23:09.5
a,16,2021-02-11T03:52:23.5,2021-02-11T03:52:50.5
a,16,2021-02-11T22:31:11.5,2021-02-11T22:35:06.5
a,16,2021-02-12T00:04:54.5,2021-02-12T00:08:09.5
a,16,2021-02-12T01:39:15.5,2021-02-12T01:41:04.5
a,16,2021-02-12T02:26:20.5,2021-02-12T02:26:45.5
a,16,2021-02-12T17:11:55.5,2021-02-12T17:13:59.5
a,16,2021-02-12T18:44:57.5,2021-02-12T18:48:15.5
a,16,2021-02-15T01:59:45.5,2021-02-15T02:02:18.5
a,16,2021-02-16T16:54:06.5,2021-02-16T16:56:16.5
a,16,2021-02-18T23:21:31.5,2021-02-18T23:25:32.5
a,16,2021-02-24T08:32:47.5,2021-02-24T08:33:09.5
a,16,2021-02-26T18:06:00.5,2021-02-26T18:09:06.5
a,16,2021-02-28T22:59:38.5,2021-02-28T23:03:41.5
a,16,2021-03-01T00:33:06.5,2021-03-01T00:36:57.5
a,16,2021-03-03T05:26:58.5,2021-03-03T05:30:37.5
a,16,2021-03-03T07:01:10.5,2021-03-03T07:01:32.5
a,16,2021-04-27T02:30:48.5,2021-04-27T02:31:43.5
a,16,2021-04-30T21:28:56.5,2021-04-30T21:28:56.5
a,16,2021-05-03T14:15:09.5,2021-05-03T14:21:06.5
a,16,2021-05-04T09:49:16.5,2021-05-04T09:49:32.5
a,16,2021-05-04T10:36:35.5,2021-05-04T10:36:35.5
a,16,2021-05-19T16:40:27.5,2021-05-19T16:40:38.5
a,16,2021-06-26T07:19:19.5,2021-06-26T07:21:09.5
a,16,2021-06-27T03:31:00.5,2021-06-27T03:33:13.5
a,16,2021-06-27T03:35:27.5,2021-06-27T03:35:35.5
a,16,2021-06-27T05:50:16.5,2021-06-27T05:51:10.5
a,16,2021-06-27T05:53:40.5,2021-06-27T05:55:46.5
a,16,2021-06-27T20:40:13.5,2021-06-27T20:40:13.5
a,16,2021-06-27T22:59:31.5,2021-06-27T22:59:31.5
a,16,2021-06-27T23:45:20.5,2021-06-27T23:46:53.5
a,16,2021-06-28T00:33:13.5,2021-06-28T00:33:25.5
a,16,2021-06-28T13:43:10.5,2021-06-28T13:44:39.5
a,16,2021-06-28T15:16:58.5,2021-06-28T15:18:25.5
